# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
2.386000e-01 4.551000e-02 6.824533e-01 2.422667e-09 1.075800e+00 -8.277667e-01 -2.946333e+00 4.948000e-01 4.078333e+00 -5.666667e-03 
2.894800e-01 5.063000e-02 6.395733e-01 1.860000e-09 9.582000e-01 -2.532333e-01 -3.283333e-01 2.004000e-01 2.235267e+00 -4.980000e-02 
3.672400e-01 4.169000e-02 7.101867e-01 1.638667e-09 8.202000e-01 -6.417667e-01 -1.672333e+00 1.668000e-01 3.164467e+00 4.673333e-02 
2.758000e-01 4.051000e-02 6.643200e-01 2.929333e-09 9.798000e-01 -6.930000e-02 -6.503333e-01 2.360000e-02 3.192067e+00 -1.766667e-02 
2.837200e-01 4.759000e-02 6.272000e-01 1.033333e-09 1.001400e+00 -1.146033e+00 -2.633667e+00 4.140000e-01 3.888200e+00 -5.400000e-03 
3.583600e-01 5.247000e-02 7.287467e-01 2.222667e-09 8.042000e-01 -4.847000e-01 -8.370000e-01 3.708000e-01 2.854733e+00 4.846667e-02 
2.498800e-01 5.205000e-02 6.001067e-01 2.006667e-09 9.922000e-01 -2.573667e-01 -9.770000e-01 6.120000e-02 3.753267e+00 3.060000e-02 
3.242800e-01 4.991000e-02 7.549867e-01 2.761333e-09 1.014200e+00 -8.339667e-01 2.876667e-01 4.332000e-01 2.621667e+00 -1.666667e-03 
3.799600e-01 4.251000e-02 6.935467e-01 1.324000e-09 8.802000e-01 -7.492333e-01 -2.736333e+00 2.484000e-01 3.489533e+00 -3.513333e-02 
2.693200e-01 4.511000e-02 6.528000e-01 1.569333e-09 8.002000e-01 -1.065000e-01 -1.812333e+00 5.828000e-01 3.630600e+00 -1.273333e-02 
2.995600e-01 5.121000e-02 6.728533e-01 2.305333e-09 9.674000e-01 -1.292767e+00 -6.083333e-01 1.260000e-01 2.213800e+00 -1.980000e-02 
3.427600e-01 4.455000e-02 7.249067e-01 2.884000e-09 1.065000e+00 -5.074333e-01 -2.713000e+00 2.876000e-01 4.069133e+00 3.513333e-02 
2.582800e-01 4.561000e-02 6.971733e-01 2.436000e-09 1.066600e+00 -7.306333e-01 -8.090000e-01 5.676000e-01 2.367133e+00 3.420000e-02 
3.122800e-01 5.235000e-02 6.045867e-01 1.633333e-09 9.206000e-01 -1.177033e+00 2.270000e-01 2.068000e-01 4.004733e+00 -2.033333e-02 
3.650800e-01 4.449000e-02 7.074133e-01 2.044000e-09 8.006000e-01 -1.209667e-01 -2.731667e+00 1.188000e-01 2.971267e+00 -1.380000e-02 
2.477200e-01 4.733000e-02 6.924800e-01 2.470667e-09 9.022000e-01 -9.538333e-01 -2.983667e+00 4.556000e-01 2.587933e+00 -3.140000e-02 
2.923600e-01 5.055000e-02 6.109867e-01 1.500000e-09 1.082600e+00 -3.090333e-01 -7.623333e-01 3.684000e-01 4.299133e+00 2.886667e-02 
3.809200e-01 4.299000e-02 7.229867e-01 2.150667e-09 8.558000e-01 -9.410000e-02 -1.510000e-01 2.800000e-03 3.087800e+00 1.140000e-02 
2.203600e-01 4.461000e-02 7.029333e-01 1.502667e-09 1.043400e+00 -8.170000e-02 -1.075000e+00 3.908000e-01 3.949533e+00 -4.500000e-02 
2.962000e-01 4.893000e-02 6.216533e-01 2.582667e-09 8.498000e-01 -5.157000e-01 -3.190000e-01 5.532000e-01 3.041800e+00 4.860000e-02 
3.874000e-01 5.001000e-02 7.368533e-01 1.772000e-09 9.158000e-01 -9.641667e-01 -2.535667e+00 5.240000e-02 2.581800e+00 6.600000e-03 
2.489200e-01 4.223000e-02 7.168000e-01 1.017333e-09 1.003400e+00 -8.835667e-01 -1.079667e+00 2.572000e-01 3.106200e+00 -4.526667e-02 
3.252400e-01 4.789000e-02 6.459733e-01 2.302667e-09 9.494000e-01 9.810000e-02 -2.227667e+00 5.884000e-01 2.569533e+00 3.993333e-02 
3.878800e-01 5.077000e-02 6.835200e-01 2.724000e-09 8.842000e-01 -6.727667e-01 -3.936667e-01 4.400000e-03 4.072200e+00 -5.800000e-03 
2.491600e-01 4.253000e-02 6.280533e-01 2.990667e-09 9.150000e-01 -6.479667e-01 -6.876667e-01 4.940000e-01 4.139667e+00 -2.000000e-04 
3.106000e-01 4.611000e-02 6.677333e-01 1.054667e-09 1.076600e+00 -8.505000e-01 -1.924333e+00 3.868000e-01 2.247533e+00 1.940000e-02 
3.619600e-01 5.041000e-02 7.133867e-01 1.841333e-09 8.010000e-01 8.363333e-02 -6.456667e-01 7.960000e-02 3.057133e+00 -3.313333e-02 
2.431600e-01 5.147000e-02 6.041600e-01 2.702667e-09 9.306000e-01 -1.788333e-01 -1.985000e+00 2.116000e-01 3.066333e+00 -3.580000e-02 
